,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
119,0.0,2.5895166990783705,0.0,-6.832756916898546e-06,0.0,0.0,0.0,24.262986361242035,0.0,0.0,-9.882653089003945,-3.3718710503929636,3.84489363598254,-0.18717835165246474,0.0,3.20635794386027,-0.05024025679275904,0.0,0.20096343873230535,1.0,-10.0
120,0.0,2.5870046560942144,0.0,-6.832756916898544e-06,0.0,0.0,0.01004817193661425,24.24917012482917,0.0,0.0,-9.880141046019785,-3.3693590074088084,3.843637614490458,-0.18717835165246463,0.0,3.2025898793840364,-0.05024025679275716,0.0,0.20096343873230926,1.0,-10.0
121,0.0,0.0,0.0,-6.832756916898575e-06,0.0,0.0,0.0,28.147261409859706,0.0,0.0,-12.472169788082368,-3.3718710503929783,5.139651985521745,-0.18717835165246668,0.0,1.9115995943210893,-0.05024025679276067,0.0,0.2009634387323086,1.0,-10.0
122,0.0,0.0,0.0,-6.832756916898565e-06,0.0,0.0,0.010048171936614534,28.129677108970593,0.0,0.0,-12.467145702114047,-3.36935900740882,5.137139942537586,-0.18717835165246333,0.0,1.9090875513369336,-0.05024025679275966,0.0,0.2009634387323064,1.0,-10.0
123,0.0,0.0,0.0,-6.832756916898551e-06,0.0,0.0,0.0,22.701538403466834,0.0,0.0,-10.568032249872726,-0.7823543513145905,4.050507384243174,-0.1871783516524668,0.2741516643475064,0.0,-0.05024025679275826,2.4524408669046167,0.2009634387323085,1.0,-10.0
124,0.0,0.0,0.0,-6.832756916898557e-06,0.0,0.0,0.010048171936614121,22.688140840884703,0.0,0.0,-10.56412462745294,-0.7823543513145949,4.048832688920408,-0.18717835165246718,0.27359343257325014,0.0,-0.0502402567927576,2.4502079398075947,0.20096343873230776,1.0,-10.0
125,0.0,0.0,0.0,-6.83275691689855e-06,0.0,0.0,0.0,27.299865028912993,0.0,0.919665325089232,-13.633583333503504,-1.702019676403824,4.970172709332405,-0.18717835165246635,0.5807067727105835,0.0,-0.05024025679275689,0.0,0.20096343873230535,1.0,-10.0
126,0.0,0.0,0.0,-6.8327569168985715e-06,0.0,0.0,0.010048171936611987,27.282280728024006,0.0,0.9188279774278503,-13.62688455221247,-1.7011823287424426,4.967660666348269,-0.18717835165246433,0.5798694250492045,0.0,-0.05024025679275935,0.0,0.2009634387323105,1.0,-10.0
127,0.0,0.0,0.0,-6.8327569168985715e-06,0.0,0.0,0.0,30.058861004180784,2.2071967802141637,0.0,-14.00144946353924,-2.989551131528761,5.521971904385963,-0.18717835165246388,0.7646398377284347,0.0,-0.050240256792757135,0.0,0.20096343873230962,1.0,-10.0
128,0.0,0.0,0.0,-6.832756916898547e-06,0.0,0.0,0.010048171936613942,30.038764660307454,2.205187145826832,0.0,-13.994415743183557,-2.9875414971414243,5.51895745280496,-0.18717835165246605,0.763635020534771,0.0,-0.05024025679275857,0.0,0.20096343873230732,1.0,-10.0
